reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
24;39;2022-04-06;257748;254881;188099;0.0;292368.0;88.2;87.2;64.3;0.0
24;49;2022-04-06;289791;287800;234765;0.0;320587.0;90.4;89.8;73.2;0.0
24;59;2022-04-06;320529;319034;281020;0.0;340563.0;94.1;93.7;82.5;0.0
24;09;2022-04-06;5203;4060;7;0.0;153323.0;3.4;2.6;0.0;0.0
24;64;2022-04-06;154614;154028;140670;0.0;166953.0;92.6;92.3;84.3;0.0
24;69;2022-04-06;150999;150420;139494;0.0;163733.0;92.2;91.9;85.2;0.0
24;74;2022-04-06;149728;149052;139495;0.0;148237.0;99.0;99.0;94.1;0.0
24;79;2022-04-06;93543;92979;86535;0.0;91784.0;99.0;99.0;94.3;0.0
24;80;2022-04-06;166289;163843;144269;14867.0;187505.0;88.7;87.4;76.9;7.9
27;04;2022-04-06;50;15;4;0.0;135181.0;0.0;0.0;0.0;0.0
27;11;2022-04-06;6366;5122;104;0.0;66215.0;9.6;7.7;0.2;0.0
27;17;2022-04-06;168754;165120;31655;0.0;201897.0;83.6;81.8;15.7;0.0
27;24;2022-04-06;198760;196293;138932;0.0;205819.0;96.6;95.4;67.5;0.0
27;29;2022-04-06;120204;118619;80494;0.0;136034.0;88.4;87.2;59.2;0.0
27;39;2022-04-06;263731;260626;183433;0.0;315411.0;83.6;82.6;58.2;0.0
27;49;2022-04-06;298302;296089;233155;0.0;341897.0;87.2;86.6;68.2;0.0
27;59;2022-04-06;339848;338217;290584;0.0;373767.0;90.9;90.5;77.7;0.0
27;09;2022-04-06;4706;3643;10;0.0;157871.0;3.0;2.3;0.0;0.0
27;64;2022-04-06;169028;168375;150370;0.0;186536.0;90.6;90.3;80.6;0.0
27;69;2022-04-06;166677;165956;151443;0.0;184261.0;90.5;90.1;82.2;0.0
27;74;2022-04-06;165902;165081;151965;0.0;169254.0;98.0;97.5;89.8;0.0
27;79;2022-04-06;103745;103093;94692;0.0;105168.0;98.6;98.0;90.0;0.0
27;80;2022-04-06;179998;177385;153761;13823.0;203728.0;88.4;87.1;75.5;6.8
28;04;2022-04-06;46;11;0;0.0;169604.0;0.0;0.0;0.0;0.0
28;11;2022-04-06;10727;8557;110;0.0;82755.0;13.0;10.3;0.1;0.0
28;17;2022-04-06;230406;225847;48275;0.0;248908.0;92.6;90.7;19.4;0.0
28;24;2022-04-06;262588;259728;194561;0.0;256809.0;99.0;99.0;75.8;0.0
28;29;2022-04-06;161624;159654;116592;0.0;167203.0;96.7;95.5;69.7;0.0
28;39;2022-04-06;352589;348978;262023;0.0;385115.0;91.6;90.6;68.0;0.0
28;49;2022-04-06;378488;376078;310897;0.0;407095.0;93.0;92.4;76.4;0.0
28;59;2022-04-06;414776;412955;366420;0.0;435868.0;95.2;94.7;84.1;0.0
28;09;2022-04-06;9130;7184;14;0.0;197987.0;4.6;3.6;0.0;0.0
28;64;2022-04-06;204693;203899;186542;0.0;216759.0;94.4;94.1;86.1;0.0
28;69;2022-04-06;198649;197880;183602;0.0;211687.0;93.8;93.5;86.7;0.0
28;74;2022-04-06;190329;189409;176795;0.0;187028.0;99.0;99.0;94.5;0.0
28;79;2022-04-06;112855;112145;103665;0.0;111707.0;99.0;99.0;92.8;0.0
28;80;2022-04-06;199968;196952;172319;18135.0;224975.0;88.9;87.5;76.6;8.1
32;04;2022-04-06;117;27;6;0.0;339937.0;0.0;0.0;0.0;0.0
32;11;2022-04-06;18396;14790;232;0.0;159229.0;11.6;9.3;0.1;0.0
32;17;2022-04-06;423573;415236;95311;0.0;474509.0;89.3;87.5;20.1;0.0
32;24;2022-04-06;490954;485316;358211;0.0;516612.0;95.0;93.9;69.3;0.0
32;29;2022-04-06;304999;301199;216510;0.0;334328.0;91.2;90.1;64.8;0.0
32;39;2022-04-06;673527;666655;496013;0.0;752457.0;89.5;88.6;65.9;0.0
32;49;2022-04-06;702843;697990;568177;0.0;759226.0;92.6;91.9;74.8;0.0
32;59;2022-04-06;721220;717706;627672;0.0;763464.0;94.5;94.0;82.2;0.0
32;09;2022-04-06;14849;11921;61;0.0;391814.0;3.8;3.0;0.0;0.0
32;64;2022-04-06;335738;334267;301175;0.0;361279.0;92.9;92.5;83.4;0.0
32;69;2022-04-06;314670;313239;286506;0.0;340870.0;92.3;91.9;84.1;0.0
32;74;2022-04-06;295836;294209;270332;0.0;292164.0;99.0;99.0;92.5;0.0
32;79;2022-04-06;162361;161241;146420;0.0;159837.0;99.0;99.0;91.6;0.0
32;80;2022-04-06;274790;270164;231236;23442.0;316936.0;86.7;85.2;73.0;7.4
44;04;2022-04-06;96;31;5;0.0;280007.0;0.0;0.0;0.0;0.0
44;11;2022-04-06;14146;11499;235;0.0;130943.0;10.8;8.8;0.2;0.0
44;17;2022-04-06;327972;320823;69440;0.0;392318.0;83.6;81.8;17.7;0.0
44;24;2022-04-06;409983;404731;288800;0.0;449393.0;91.2;90.1;64.3;0.0
44;29;2022-04-06;266937;263469;183927;0.0;303553.0;87.9;86.8;60.6;0.0
44;39;2022-04-06;575632;568963;411211;0.0;675514.0;85.2;84.2;60.9;0.0
44;49;2022-04-06;612420;607787;483806;0.0;694218.0;88.2;87.5;69.7;0.0
44;59;2022-04-06;686212;682746;591937;0.0;754610.0;90.9;90.5;78.4;0.0
44;09;2022-04-06;11580;9254;26;0.0;318357.0;3.6;2.9;0.0;0.0
44;64;2022-04-06;329876;328486;295082;0.0;361970.0;91.1;90.7;81.5;0.0
44;69;2022-04-06;312171;310770;284035;0.0;341045.0;91.5;91.1;83.3;0.0
44;74;2022-04-06;289252;287790;264631;0.0;285163.0;99.0;99.0;92.8;0.0
44;79;2022-04-06;173364;172292;156904;0.0;180660.0;96.0;95.4;86.9;0.0
44;80;2022-04-06;302432;298261;258127;23917.0;343996.0;87.9;86.7;75.0;7.0
52;04;2022-04-06;83;23;7;0.0;200739.0;0.0;0.0;0.0;0.0
52;11;2022-04-06;12150;9315;133;0.0;99864.0;12.2;9.3;0.1;0.0
52;17;2022-04-06;282130;276750;54128;0.0;299007.0;94.4;92.6;18.1;0.0
52;24;2022-04-06;306436;303790;221610;0.0;301552.0;99.0;99.0;73.5;0.0
52;29;2022-04-06;187355;185498;132348;0.0;193232.0;97.0;96.0;68.5;0.0
52;39;2022-04-06;413209;409640;301780;0.0;456089.0;90.6;89.8;66.2;0.0
52;49;2022-04-06;456655;454363;369383;0.0;487292.0;93.7;93.2;75.8;0.0
52;59;2022-04-06;464444;462785;407762;0.0;483216.0;96.1;95.8;84.4;0.0
52;09;2022-04-06;9395;7180;28;0.0;236755.0;4.0;3.0;0.0;0.0
52;64;2022-04-06;222341;221600;202924;0.0;234328.0;94.9;94.6;86.6;0.0
52;69;2022-04-06;217456;216767;201943;0.0;228813.0;95.0;94.7;88.3;0.0
52;74;2022-04-06;212670;211762;198301;0.0;204390.0;99.0;99.0;97.0;0.0
52;79;2022-04-06;126918;126192;117634;0.0;123318.0;99.0;99.0;95.4;0.0
52;80;2022-04-06;229833;226678;200117;20170.0;253202.0;90.8;89.5;79.0;8.0
53;04;2022-04-06;65;21;4;0.0;162458.0;0.0;0.0;0.0;0.0
53;11;2022-04-06;10654;8358;78;0.0;82771.0;12.9;10.1;0.1;0.0
53;17;2022-04-06;239945;235118;44226;0.0;250818.0;95.7;93.7;17.6;0.0
53;24;2022-04-06;269559;266914;197695;0.0;260539.0;99.0;99.0;75.9;0.0
