dep;semaine_glissante;pop;P;T
02;2020-08-08-2020-08-14;526050;27;2076
02;2020-08-09-2020-08-15;526050;27;1924
02;2020-08-10-2020-08-16;526050;27;1915
02;2020-08-11-2020-08-17;526050;25;2060
02;2020-08-12-2020-08-18;526050;25;2188
02;2020-08-13-2020-08-19;526050;32;2470
02;2020-08-14-2020-08-20;526050;41;2715
02;2020-08-15-2020-08-21;526050;54;2874
02;2020-08-16-2020-08-22;526050;68;3110
02;2020-08-17-2020-08-23;526050;68;3122
02;2020-08-18-2020-08-24;526050;70;3145
02;2020-08-19-2020-08-25;526050;71;3130
02;2020-08-20-2020-08-26;526050;83;3164
02;2020-08-21-2020-08-27;526050;87;3237
02;2020-08-22-2020-08-28;526050;99;3322
02;2020-08-23-2020-08-29;526050;93;3357
02;2020-08-24-2020-08-30;526050;92;3339
02;2020-08-25-2020-08-31;526050;105;3497
02;2020-08-26-2020-09-01;526050;124;3610
02;2020-08-27-2020-09-02;526050;115;3671
02;2020-08-28-2020-09-03;526050;115;3620
02;2020-08-29-2020-09-04;526050;112;3958
02;2020-08-30-2020-09-05;526050;114;4008
02;2020-08-31-2020-09-06;526050;117;4026
02;2020-09-01-2020-09-07;526050;122;4302
02;2020-09-02-2020-09-08;526050;118;4778
02;2020-09-03-2020-09-09;526050;131;4914
02;2020-09-04-2020-09-10;526050;152;5677
02;2020-09-05-2020-09-11;526050;178;5911
02;2020-09-06-2020-09-12;526050;192;6126
02;2020-09-07-2020-09-13;526050;195;6161
02;2020-09-08-2020-09-14;526050;214;6302
02;2020-09-09-2020-09-15;526050;225;6455
02;2020-09-10-2020-09-16;526050;248;7160
02;2020-09-11-2020-09-17;526050;262;7193
02;2020-09-12-2020-09-18;526050;251;7435
02;2020-09-13-2020-09-19;526050;254;7607
02;2020-09-14-2020-09-20;526050;248;7558
02;2020-09-15-2020-09-21;526050;246;7543
02;2020-09-16-2020-09-22;526050;252;7392
02;2020-09-17-2020-09-23;526050;238;6871
02;2020-09-18-2020-09-24;526050;238;6335
02;2020-09-19-2020-09-25;526050;238;5888
02;2020-09-20-2020-09-26;526050;248;5648
02;2020-09-21-2020-09-27;526050;255;5659
02;2020-09-22-2020-09-28;526050;248;5430
02;2020-09-23-2020-09-29;526050;246;5208
