reg;semaine_glissante;pop;P;T;nom_region
01;2021-01-01-2021-01-07;376879;108;3991;Guadeloupe
01;2021-01-02-2021-01-08;376879;123;4460;Guadeloupe
01;2021-01-03-2021-01-09;376879;111;3758;Guadeloupe
01;2021-01-04-2021-01-10;376879;111;3659;Guadeloupe
01;2021-01-05-2021-01-11;376879;112;3267;Guadeloupe
01;2021-01-06-2021-01-12;376879;114;3184;Guadeloupe
01;2021-01-07-2021-01-13;376879;112;3128;Guadeloupe
01;2021-01-08-2021-01-14;376879;104;3140;Guadeloupe
01;2021-01-09-2021-01-15;376879;95;3091;Guadeloupe
01;2021-01-10-2021-01-16;376879;93;3119;Guadeloupe
01;2021-01-11-2021-01-17;376879;92;3118;Guadeloupe
01;2021-01-12-2021-01-18;376879;99;3208;Guadeloupe
01;2021-01-13-2021-01-19;376879;95;3251;Guadeloupe
01;2021-01-14-2021-01-20;376879;94;3323;Guadeloupe
01;2021-01-15-2021-01-21;376879;94;3358;Guadeloupe
01;2021-01-16-2021-01-22;376879;104;3519;Guadeloupe
01;2021-01-17-2021-01-23;376879;105;3520;Guadeloupe
01;2021-01-18-2021-01-24;376879;106;3525;Guadeloupe
01;2021-01-19-2021-01-25;376879;102;3629;Guadeloupe
01;2021-01-20-2021-01-26;376879;96;3747;Guadeloupe
01;2021-01-21-2021-01-27;376879;91;3900;Guadeloupe
01;2021-01-22-2021-01-28;376879;95;4091;Guadeloupe
01;2021-01-23-2021-01-29;376879;92;4132;Guadeloupe
01;2021-01-24-2021-01-30;376879;94;4152;Guadeloupe
01;2021-01-25-2021-01-31;376879;98;4141;Guadeloupe
01;2021-01-26-2021-02-01;376879;99;4208;Guadeloupe
01;2021-01-27-2021-02-02;376879;108;4257;Guadeloupe
01;2021-01-28-2021-02-03;376879;124;4125;Guadeloupe
01;2021-01-29-2021-02-04;376879;134;4011;Guadeloupe
01;2021-01-30-2021-02-05;376879;137;4014;Guadeloupe
01;2021-01-31-2021-02-06;376879;131;3961;Guadeloupe
01;2021-02-01-2021-02-07;376879;128;3963;Guadeloupe
01;2021-02-02-2021-02-08;376879;131;3867;Guadeloupe
01;2021-02-03-2021-02-09;376879;148;3817;Guadeloupe
01;2021-02-04-2021-02-10;376879;144;3844;Guadeloupe
01;2021-02-05-2021-02-11;376879;154;3767;Guadeloupe
01;2021-02-06-2021-02-12;376879;174;3598;Guadeloupe
01;2021-02-07-2021-02-13;376879;174;3646;Guadeloupe
01;2021-02-08-2021-02-14;376879;180;3655;Guadeloupe
01;2021-02-09-2021-02-15;376879;189;3498;Guadeloupe
01;2021-02-10-2021-02-16;376879;160;3045;Guadeloupe
01;2021-02-11-2021-02-17;376879;146;2623;Guadeloupe
01;2021-02-12-2021-02-18;376879;166;2733;Guadeloupe
01;2021-02-13-2021-02-19;376879;191;2894;Guadeloupe
01;2021-02-14-2021-02-20;376879;209;2983;Guadeloupe
01;2021-02-15-2021-02-21;376879;204;2984;Guadeloupe
01;2021-02-16-2021-02-22;376879;260;3266;Guadeloupe
01;2021-02-17-2021-02-23;376879;308;3699;Guadeloupe
01;2021-02-18-2021-02-24;376879;340;4087;Guadeloupe
01;2021-02-19-2021-02-25;376879;345;4088;Guadeloupe
01;2021-02-20-2021-02-26;376879;358;4272;Guadeloupe
01;2021-02-21-2021-02-27;376879;361;4318;Guadeloupe
01;2021-02-22-2021-02-28;376879;371;4349;Guadeloupe
01;2021-02-23-2021-03-01;376879;378;4363;Guadeloupe
01;2021-02-24-2021-03-02;376879;401;4498;Guadeloupe
01;2021-02-25-2021-03-03;376879;413;4664;Guadeloupe
01;2021-02-26-2021-03-04;376879;405;4834;Guadeloupe
01;2021-02-27-2021-03-05;376879;380;4829;Guadeloupe
01;2021-02-28-2021-03-06;376879;369;4865;Guadeloupe
01;2021-03-01-2021-03-07;376879;368;4835;Guadeloupe
01;2021-03-02-2021-03-08;376879;329;4712;Guadeloupe
01;2021-03-03-2021-03-09;376879;304;4664;Guadeloupe
01;2021-03-04-2021-03-10;376879;284;4663;Guadeloupe
01;2021-03-05-2021-03-11;376879;253;4245;Guadeloupe
01;2021-03-06-2021-03-12;376879;265;4313;Guadeloupe
01;2021-03-07-2021-03-13;376879;269;4291;Guadeloupe
01;2021-03-08-2021-03-14;376879;265;4290;Guadeloupe
01;2021-03-09-2021-03-15;376879;281;4177;Guadeloupe
01;2021-03-10-2021-03-16;376879;281;4186;Guadeloupe
01;2021-03-11-2021-03-17;376879;301;4061;Guadeloupe
01;2021-03-12-2021-03-18;376879;337;4381;Guadeloupe
01;2021-03-13-2021-03-19;376879;348;4330;Guadeloupe
01;2021-03-14-2021-03-20;376879;351;4419;Guadeloupe
01;2021-03-15-2021-03-21;376879;354;4431;Guadeloupe
01;2021-03-16-2021-03-22;376879;341;4434;Guadeloupe
01;2021-03-17-2021-03-23;376879;354;4509;Guadeloupe
01;2021-03-18-2021-03-24;376879;367;4648;Guadeloupe
01;2021-03-19-2021-03-25;376879;364;4796;Guadeloupe
01;2021-03-20-2021-03-26;376879;358;4776;Guadeloupe
01;2021-03-21-2021-03-27;376879;359;4796;Guadeloupe
01;2021-03-22-2021-03-28;376879;357;4778;Guadeloupe
01;2021-03-23-2021-03-29;376879;359;4797;Guadeloupe
01;2021-03-24-2021-03-30;376879;379;4694;Guadeloupe
01;2021-03-25-2021-03-31;376879;391;4664;Guadeloupe
01;2021-03-26-2021-04-01;376879;411;4646;Guadeloupe
01;2021-03-27-2021-04-02;376879;364;4121;Guadeloupe
01;2021-03-28-2021-04-03;376879;389;4239;Guadeloupe
