fra;semaine_glissante;pop;P;T
FR;2021-03-18-2021-03-24;67114995;237837;2925465
FR;2021-03-19-2021-03-25;67114995;246456;3019808
FR;2021-03-20-2021-03-26;67114995;254969;3110434
FR;2021-03-21-2021-03-27;67114995;259961;3174871
FR;2021-03-22-2021-03-28;67114995;260107;3178421
FR;2021-03-23-2021-03-29;67114995;266812;3264961
FR;2021-03-24-2021-03-30;67114995;272922;3381129
FR;2021-03-25-2021-03-31;67114995;275946;3473897
FR;2021-03-26-2021-04-01;67114995;277567;3571508
FR;2021-03-27-2021-04-02;67114995;276462;3612352
FR;2021-03-28-2021-04-03;67114995;275983;3674236
FR;2021-03-29-2021-04-04;67114995;275932;3681325
FR;2021-03-30-2021-04-05;67114995;225708;3122010
FR;2021-03-31-2021-04-06;67114995;236926;3069561
FR;2021-04-01-2021-04-07;67114995;236747;2978136
FR;2021-04-02-2021-04-08;67114995;234113;2796638
FR;2021-04-03-2021-04-09;67114995;232843;2645620
FR;2021-04-04-2021-04-10;67114995;232183;2543323
FR;2021-04-05-2021-04-11;67114995;232274;2535519
FR;2021-04-06-2021-04-12;67114995;275037;2871805
FR;2021-04-07-2021-04-13;67114995;253634;2640163
FR;2021-04-08-2021-04-14;67114995;244727;2535626
FR;2021-04-09-2021-04-15;67114995;238162;2451753
FR;2021-04-10-2021-04-16;67114995;231894;2364031
FR;2021-04-11-2021-04-17;67114995;227969;2319684
FR;2021-04-12-2021-04-18;67114995;227482;2312361
FR;2021-04-13-2021-04-19;67114995;222121;2238247
FR;2021-04-14-2021-04-20;67114995;218058;2190880
FR;2021-04-15-2021-04-21;67114995;215248;2149378
FR;2021-04-16-2021-04-22;67114995;211484;2109353
FR;2021-04-17-2021-04-23;67114995;207094;2071220
FR;2021-04-18-2021-04-24;67114995;203923;2047892
FR;2021-04-19-2021-04-25;67114995;202914;2044966
FR;2021-04-20-2021-04-26;67114995;194772;2020492
FR;2021-04-21-2021-04-27;67114995;188013;2036985
FR;2021-04-22-2021-04-28;67114995;180062;2026560
FR;2021-04-23-2021-04-29;67114995;172358;2084944
FR;2021-04-24-2021-04-30;67114995;165631;2171243
FR;2021-04-25-2021-05-01;67114995;150195;2027675
