reg;nom_reg;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
84;Auvergne-Rhône-Alpes;2022-02-28-2022-03-06;39203.00;9133.00;23.30;8314.00;61.00;0.73;8845.00;11.00;0.12;57.00;8858.00;99.36;8302.00;8373.00;99.15
84;Auvergne-Rhône-Alpes;2022-03-01-2022-03-07;38581.00;8982.00;23.28;8180.00;60.00;0.73;8654.00;31.00;0.36;55.00;8690.00;99.37;8147.00;8237.00;98.91
84;Auvergne-Rhône-Alpes;2022-03-02-2022-03-08;38575.00;9064.00;23.50;8271.00;38.00;0.46;8704.00;31.00;0.35;59.00;8746.00;99.33;8238.00;8306.00;99.18
84;Auvergne-Rhône-Alpes;2022-03-03-2022-03-09;39202.00;9239.00;23.57;8484.00;12.00;0.14;8889.00;30.00;0.34;65.00;8932.00;99.28;8452.00;8493.00;99.52
84;Auvergne-Rhône-Alpes;2022-03-04-2022-03-10;40430.00;9509.00;23.52;8728.00;13.00;0.15;9141.00;30.00;0.33;72.00;9180.00;99.22;8696.00;8738.00;99.52
84;Auvergne-Rhône-Alpes;2022-03-05-2022-03-11;41821.00;9868.00;23.60;9084.00;13.00;0.14;9496.00;30.00;0.31;78.00;9535.00;99.19;9052.00;9094.00;99.54
84;Auvergne-Rhône-Alpes;2022-03-06-2022-03-12;43514.00;10240.00;23.53;9452.00;14.00;0.15;9879.00;27.00;0.27;92.00;9904.00;99.08;9423.00;9463.00;99.58
84;Auvergne-Rhône-Alpes;2022-03-07-2022-03-13;43949.00;10325.00;23.49;9538.00;14.00;0.15;9969.00;27.00;0.27;93.00;9992.00;99.08;9510.00;9550.00;99.58
84;Auvergne-Rhône-Alpes;2022-03-08-2022-03-14;48456.00;11625.00;23.99;10784.00;15.00;0.14;11280.00;5.00;0.04;102.00;11287.00;99.10;10777.00;10797.00;99.81
84;Auvergne-Rhône-Alpes;2022-03-09-2022-03-15;51944.00;12544.00;24.15;11725.00;8.00;0.07;12224.00;7.00;0.06;112.00;12205.00;99.09;11717.00;11732.00;99.87
84;Auvergne-Rhône-Alpes;2022-03-10-2022-03-16;55711.00;13881.00;24.92;13026.00;7.00;0.05;13543.00;7.00;0.05;116.00;13514.00;99.15;13018.00;13032.00;99.89
84;Auvergne-Rhône-Alpes;2022-03-11-2022-03-17;59400.00;15521.00;26.13;14673.00;6.00;0.04;15173.00;8.00;0.05;124.00;15126.00;99.19;14664.00;14678.00;99.90
84;Auvergne-Rhône-Alpes;2022-03-12-2022-03-18;63730.00;17650.00;27.69;16764.00;5.00;0.03;17283.00;10.00;0.06;145.00;17202.00;99.16;16753.00;16768.00;99.91
84;Auvergne-Rhône-Alpes;2022-03-13-2022-03-19;66668.00;19004.00;28.51;18110.00;4.00;0.02;18623.00;11.00;0.06;157.00;18527.00;99.16;18098.00;18113.00;99.92
