dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
14;11;2022-05-01;1898;1580;25;0;16901.0;11.2;9.3;0.1;0.0
14;17;2022-05-01;48484;47497;10012;0;52063.0;93.1;91.2;19.2;0.0
14;24;2022-05-01;57003;56420;43109;0;60987.0;93.5;92.5;70.7;0.0
14;29;2022-05-01;35487;35073;26407;0;34960.0;99.0;99.0;75.5;0.0
14;39;2022-05-01;74752;74016;57063;0;78671.0;95.0;94.1;72.5;0.0
14;49;2022-05-01;81069;80526;67699;0;84964.0;95.4;94.8;79.7;0.0
14;59;2022-05-01;85833;85440;76504;0;89285.0;96.1;95.7;85.7;0.0
14;09;2022-05-01;1617;1304;2;0;39456.0;4.1;3.3;0.0;0.0
14;64;2022-05-01;42689;42533;38979;1187;45437.0;94.0;93.6;85.8;2.6
14;69;2022-05-01;43204;43052;40169;1265;45564.0;94.8;94.5;88.2;2.8
14;74;2022-05-01;41288;41107;38559;1453;39971.0;99.0;99.0;96.5;3.6
14;79;2022-05-01;24223;24070;22507;2386;23384.0;99.0;99.0;96.2;10.2
14;80;2022-05-01;42423;41773;36781;7843;47097.0;90.1;88.7;78.1;16.7
15;04;2022-05-01;1;0;0;0;5285.0;0.0;0.0;0.0;0.0
15;11;2022-05-01;263;191;7;0;2969.0;8.9;6.4;0.2;0.0
15;17;2022-05-01;8321;8101;1561;0;9080.0;91.6;89.2;17.2;0.0
15;24;2022-05-01;9023;8955;6645;0;8091.0;99.0;99.0;82.1;0.0
15;29;2022-05-01;5248;5202;3778;0;5406.0;97.1;96.2;69.9;0.0
15;39;2022-05-01;12478;12399;9502;0;14131.0;88.3;87.7;67.2;0.0
15;49;2022-05-01;15402;15337;12806;0;17202.0;89.5;89.2;74.4;0.0
15;59;2022-05-01;19088;19013;16887;0;21195.0;90.1;89.7;79.7;0.0
15;09;2022-05-01;207;162;0;0;6563.0;3.2;2.5;0.0;0.0
15;64;2022-05-01;10290;10240;9305;234;11135.0;92.4;92.0;83.6;2.1
15;69;2022-05-01;10538;10485;9737;244;11435.0;92.2;91.7;85.2;2.1
15;74;2022-05-01;10003;9968;9293;282;10127.0;98.8;98.4;91.8;2.8
15;79;2022-05-01;6339;6300;5836;466;6453.0;98.2;97.6;90.4;7.2
15;80;2022-05-01;12053;11893;10210;1604;13739.0;87.7;86.6;74.3;11.7
16;04;2022-05-01;5;1;0;0;15081.0;0.0;0.0;0.0;0.0
16;11;2022-05-01;799;614;13;0;7841.0;10.2;7.8;0.2;0.0
16;17;2022-05-01;21111;20670;4294;0;23113.0;91.3;89.4;18.6;0.0
16;24;2022-05-01;23697;23371;16739;0;22805.0;99.0;99.0;73.4;0.0
16;29;2022-05-01;14563;14330;10180;0;16488.0;88.3;86.9;61.7;0.0
16;39;2022-05-01;32370;31975;23438;0;37221.0;87.0;85.9;63.0;0.0
16;49;2022-05-01;37641;37374;30351;0;42419.0;88.7;88.1;71.6;0.0
16;59;2022-05-01;45250;45038;39916;0;48767.0;92.8;92.4;81.9;0.0
16;09;2022-05-01;676;537;0;0;18130.0;3.7;3.0;0.0;0.0
16;64;2022-05-01;23615;23518;21560;680;25626.0;92.2;91.8;84.1;2.7
16;69;2022-05-01;23720;23624;22073;694;25227.0;94.0;93.6;87.5;2.8
16;74;2022-05-01;22685;22562;21239;753;22007.0;99.0;99.0;96.5;3.4
16;79;2022-05-01;14334;14249;13350;1274;14324.0;99.0;99.0;93.2;8.9
16;80;2022-05-01;25782;25423;22397;4028;29131.0;88.5;87.3;76.9;13.8
17;04;2022-05-01;14;1;0;0;26217.0;0.1;0.0;0.0;0.0
17;11;2022-05-01;1040;822;7;0;14224.0;7.3;5.8;0.0;0.0
17;17;2022-05-01;39474;38530;7353;0;43133.0;91.5;89.3;17.0;0.0
17;24;2022-05-01;45772;45134;31428;0;41888.0;99.0;99.0;75.0;0.0
17;29;2022-05-01;25992;25639;17510;0;25772.0;99.0;99.0;67.9;0.0
17;39;2022-05-01;60805;60063;42673;0;66631.0;91.3;90.1;64.0;0.0
17;49;2022-05-01;72439;71894;56995;0;78405.0;92.4;91.7;72.7;0.0
17;59;2022-05-01;83216;82764;72066;0;85909.0;96.9;96.3;83.9;0.0
17;09;2022-05-01;710;538;3;0;32589.0;2.2;1.7;0.0;0.0
17;64;2022-05-01;45015;44811;40647;1351;47547.0;94.7;94.2;85.5;2.8
17;69;2022-05-01;49883;49691;46033;1503;51529.0;96.8;96.4;89.3;2.9
17;74;2022-05-01;50445;50228;47009;1760;47920.0;99.0;99.0;98.1;3.7
17;79;2022-05-01;31330;31127;29025;2965;30024.0;99.0;99.0;96.7;9.9
17;80;2022-05-01;50370;49680;43613;8602;55292.0;91.1;89.9;78.9;15.6
18;04;2022-05-01;3;2;0;0;13630.0;0.0;0.0;0.0;0.0
18;11;2022-05-01;687;564;13;0;6832.0;10.1;8.3;0.2;0.0
18;17;2022-05-01;18144;17776;4176;0;19484.0;93.1;91.2;21.4;0.0
18;24;2022-05-01;20267;20010;14589;0;18426.0;99.0;99.0;79.2;0.0
18;29;2022-05-01;11917;11771;8477;0;13223.0;90.1;89.0;64.1;0.0
18;39;2022-05-01;27186;26872;19970;0;31552.0;86.2;85.2;63.3;0.0
18;49;2022-05-01;31188;30953;25457;0;35301.0;88.3;87.7;72.1;0.0
18;59;2022-05-01;38376;38204;33816;0;41611.0;92.2;91.8;81.3;0.0
18;09;2022-05-01;512;383;0;0;15979.0;3.2;2.4;0.0;0.0
18;64;2022-05-01;19804;19732;18059;581;21471.0;92.2;91.9;84.1;2.7
18;69;2022-05-01;19523;19448;18152;550;21413.0;91.2;90.8;84.8;2.6
18;74;2022-05-01;19984;19901;18639;664;20101.0;99.0;99.0;92.7;3.3
18;79;2022-05-01;12588;12501;11652;1127;12438.0;99.0;99.0;93.7;9.1
18;80;2022-05-01;21906;21575;18882;3546;24943.0;87.8;86.5;75.7;14.2
19;04;2022-05-01;2;0;0;0;9787.0;0.0;0.0;0.0;0.0
19;11;2022-05-01;505;375;10;0;5142.0;9.8;7.3;0.2;0.0
19;17;2022-05-01;13625;13360;2738;0;15894.0;85.7;84.1;17.2;0.0
19;24;2022-05-01;15850;15638;11274;0;15462.0;99.0;99.0;72.9;0.0
19;29;2022-05-01;9307;9175;6409;0;10380.0;89.7;88.4;61.7;0.0
19;39;2022-05-01;20867;20648;15114;0;24486.0;85.2;84.3;61.7;0.0
19;49;2022-05-01;25532;25339;20502;0;29167.0;87.5;86.9;70.3;0.0
19;59;2022-05-01;30306;30185;26213;0;33019.0;91.8;91.4;79.4;0.0
19;09;2022-05-01;291;227;0;0;12051.0;2.4;1.9;0.0;0.0
19;64;2022-05-01;15915;15862;14294;345;17701.0;89.9;89.6;80.8;1.9
19;69;2022-05-01;16217;16149;14730;431;18195.0;89.1;88.8;81.0;2.4
19;74;2022-05-01;16324;16239;14839;490;16310.0;99.0;99.0;91.0;3.0
19;79;2022-05-01;10287;10223;9275;746;10544.0;97.6;97.0;88.0;7.1
19;80;2022-05-01;19588;19238;16505;2990;22198.0;88.2;86.7;74.4;13.5
21;04;2022-05-01;9;2;1;0;25826.0;0.0;0.0;0.0;0.0
21;11;2022-05-01;1312;1080;19;0;12159.0;10.8;8.9;0.2;0.0
21;17;2022-05-01;31853;31177;6263;0;38757.0;82.2;80.4;16.2;0.0
21;24;2022-05-01;42079;41573;30224;0;51370.0;81.9;80.9;58.8;0.0
21;29;2022-05-01;26998;26631;18763;0;29584.0;91.3;90.0;63.4;0.0
21;39;2022-05-01;55213;54614;39437;0;62868.0;87.8;86.9;62.7;0.0
21;49;2022-05-01;58818;58419;46642;0;65826.0;89.4;88.7;70.9;0.0
21;59;2022-05-01;63664;63364;54679;0;68688.0;92.7;92.2;79.6;0.0
21;09;2022-05-01;1113;852;2;0;29383.0;3.8;2.9;0.0;0.0
21;64;2022-05-01;30869;30747;27530;832;33480.0;92.2;91.8;82.2;2.5
21;69;2022-05-01;29495;29372;26863;931;32324.0;91.2;90.9;83.1;2.9
21;74;2022-05-01;29231;29110;26792;970;29647.0;98.6;98.2;90.4;3.3
21;79;2022-05-01;18234;18097;16559;1765;18184.0;99.0;99.0;91.1;9.7
21;80;2022-05-01;31412;30922;27083;5939;34790.0;90.3;88.9;77.8;17.1
22;04;2022-05-01;10;2;1;0;27035.0;0.0;0.0;0.0;0.0
22;11;2022-05-01;1935;1474;12;0;14357.0;13.5;10.3;0.1;0.0
22;17;2022-05-01;42755;41693;7771;0;43994.0;97.2;94.8;17.7;0.0
