reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
03;29;2022-04-28;8290;7331;2917;0;19945.0;41.6;36.8;14.6;0.0
03;39;2022-04-28;19047;17119;7710;0;39602.0;48.1;43.2;19.5;0.0
03;49;2022-04-28;17755;16240;8260;0;34757.0;51.1;46.7;23.8;0.0
03;59;2022-04-28;15367;14208;8308;0;27026.0;56.9;52.6;30.7;0.0
03;09;2022-04-28;340;261;4;0;29958.0;1.1;0.9;0.0;0.0
03;64;2022-04-28;5577;5265;3286;51;10200.0;54.7;51.6;32.2;0.5
03;69;2022-04-28;3883;3654;2342;45;7246.0;53.6;50.4;32.3;0.6
03;74;2022-04-28;2503;2373;1488;23;4665.0;53.7;50.9;31.9;0.5
03;79;2022-04-28;1415;1348;864;24;2703.0;52.3;49.9;32.0;0.9
03;80;2022-04-28;1249;1166;696;20;3390.0;36.8;34.4;20.5;0.6
04;04;2022-04-28;41;14;5;0;57908.0;0.1;0.0;0.0;0.0
04;11;2022-04-28;1128;881;33;0;27281.0;4.1;3.2;0.1;0.0
04;17;2022-04-28;54275;51813;7374;0;82143.0;66.1;63.1;9.0;0.0
04;24;2022-04-28;63750;61549;31626;0;74456.0;85.6;82.7;42.5;0.0
04;29;2022-04-28;37234;36098;19167;0;48787.0;76.3;74.0;39.3;0.0
04;39;2022-04-28;86928;84897;50321;0;104568.0;83.1;81.2;48.1;0.0
04;49;2022-04-28;93916;92355;62552;0;113615.0;82.7;81.3;55.1;0.0
04;59;2022-04-28;102513;101149;74759;0;125597.0;81.6;80.5;59.5;0.0
04;09;2022-04-28;785;580;1;0;63783.0;1.2;0.9;0.0;0.0
04;64;2022-04-28;41318;40819;31924;812;49376.0;83.7;82.7;64.7;1.6
04;69;2022-04-28;34194;33822;27182;798;40475.0;84.5;83.6;67.2;2.0
04;74;2022-04-28;23928;23652;18957;584;27194.0;88.0;87.0;69.7;2.1
04;79;2022-04-28;15757;15581;12022;495;19499.0;80.8;79.9;61.7;2.5
04;80;2022-04-28;18319;17942;12983;823;25277.0;72.5;71.0;51.4;3.3
06;04;2022-04-28;107;44;3;0;43940.0;0.2;0.1;0.0;0.0
06;11;2022-04-28;351;216;1;0;15296.0;2.3;1.4;0.0;0.0
06;17;2022-04-28;26507;19987;994;0;41197.0;64.3;48.5;2.4;0.0
06;24;2022-04-28;26729;22210;4400;0;26827.0;99.0;82.8;16.4;0.0
06;29;2022-04-28;17475;14911;3331;0;18625.0;93.8;80.1;17.9;0.0
06;39;2022-04-28;34508;30516;8501;0;37697.0;91.5;81.0;22.6;0.0
06;49;2022-04-28;27677;25196;9417;0;28132.0;98.4;89.6;33.5;0.0
06;59;2022-04-28;15795;14575;6929;0;14768.0;99.0;98.7;46.9;0.0
06;09;2022-04-28;124;73;1;0;41023.0;0.3;0.2;0.0;0.0
06;64;2022-04-28;4705;4378;2189;32;4594.0;99.0;95.3;47.6;0.7
06;69;2022-04-28;2966;2742;1330;20;3152.0;94.1;87.0;42.2;0.6
06;74;2022-04-28;1718;1555;659;14;1775.0;96.8;87.6;37.1;0.8
06;79;2022-04-28;896;789;293;4;1259.0;71.2;62.7;23.3;0.3
06;80;2022-04-28;767;646;212;1;1186.0;64.7;54.5;17.9;0.1
07;04;2022-04-28;5;5;3;0;517.0;1.0;1.0;0.6;0.0
07;11;2022-04-28;15;11;2;0;183.0;8.2;6.0;1.1;0.0
07;17;2022-04-28;357;337;95;0;540.0;66.1;62.4;17.6;0.0
07;24;2022-04-28;701;658;385;0;757.0;92.6;86.9;50.9;0.0
07;29;2022-04-28;859;821;530;0;960.0;89.5;85.5;55.2;0.0
07;39;2022-04-28;1876;1812;1163;0;1752.0;99.0;99.0;66.4;0.0
07;49;2022-04-28;1747;1699;1117;0;1808.0;96.6;94.0;61.8;0.0
07;59;2022-04-28;1709;1669;1199;0;1548.0;99.0;99.0;77.5;0.0
07;09;2022-04-28;7;4;1;0;517.0;1.4;0.8;0.2;0.0
07;64;2022-04-28;506;491;357;7;433.0;99.0;99.0;82.4;1.6
07;69;2022-04-28;356;340;265;10;309.0;99.0;99.0;85.8;3.2
07;74;2022-04-28;242;233;182;13;251.0;96.4;92.8;72.5;5.2
07;79;2022-04-28;163;161;121;5;170.0;95.9;94.7;71.2;2.9
07;80;2022-04-28;133;128;91;10;216.0;61.6;59.3;42.1;4.6
08;04;2022-04-28;10;4;0;0;2722.2;0.4;0.1;0.0;0.0
08;11;2022-04-28;27;23;3;0;1223.3;2.2;1.9;0.2;0.0
08;17;2022-04-28;872;808;120;0;3969.8;22.0;20.4;3.0;0.0
08;24;2022-04-28;1292;1191;453;0;2459.1;52.5;48.4;18.4;0.0
08;29;2022-04-28;886;819;266;0;2086.3;42.5;39.3;12.8;0.0
08;39;2022-04-28;2414;2244;856;0;4598.4;52.5;48.8;18.6;0.0
08;49;2022-04-28;2610;2461;1178;0;5612.0;46.5;43.9;21.0;0.0
08;59;2022-04-28;3025;2880;1568;0;5042.5;60.0;57.1;31.1;0.0
08;09;2022-04-28;34;24;0;0;2990.8;1.1;0.8;0.0;0.0
08;64;2022-04-28;1200;1155;625;10;1727.8;69.5;66.8;36.2;0.6
08;69;2022-04-28;849;799;462;13;1332.2;63.7;60.0;34.7;1.0
08;74;2022-04-28;571;552;357;15;766.5;74.5;72.0;46.6;2.0
08;79;2022-04-28;333;316;208;16;386.4;86.2;81.8;53.8;4.1
08;80;2022-04-28;238;217;118;13;416.7;57.1;52.1;28.3;3.1
11;04;2022-04-28;394;137;38;0;793690.0;0.0;0.0;0.0;0.0
11;11;2022-04-28;26633;22488;705;0;315880.0;8.4;7.1;0.2;0.0
11;17;2022-04-28;707353;688725;134248;0;919611.0;76.9;74.9;14.6;0.0
11;24;2022-04-28;945675;931518;617678;0;1099492.0;86.0;84.7;56.2;0.0
11;29;2022-04-28;779388;770116;520155;0;863043.0;90.3;89.2;60.3;0.0
